date;holiday;country
01/01/2016;New Year's Day;Both
01/01/2017;New Year's Day;Both
01/01/2018;New Year's Day;Both
01/01/2019;New Year's Day;Both
06/01/2016;Epiphany;Both
06/01/2017;Epiphany;Both
06/01/2018;Epiphany;Both
06/01/2019;Epiphany;Both
25/03/2016;Good Friday;Both
14/04/2017;Good Friday;Both
30/03/2018;Good Friday;Both
19/04/2019;Good Friday;Both
28/03/2016;Easter Monday;Both
17/04/2017;Easter Monday;Both
02/04/2018;Easter Monday;Both
22/04/2019;Easter Monday;Both
01/05/2016;Labour Day;Both
01/05/2017;Labour Day;Both
01/05/2018;Labour Day;Both
01/05/2019;Labour Day;Both
05/05/2016;Ascension Day;Austria
25/05/2017;Ascension Day;Austria
10/05/2018;Ascension Day;Austria
30/05/2019;Ascension Day;Austria
16/05/2016;Whit Monday;Austria
05/06/2017;Whit Monday;Austria
21/05/2018;Whit Monday;Austria
10/06/2019;Whit Monday;Austria
26/05/2016;Corpus Christi;Austria
15/06/2017;Corpus Christi;Austria
31/05/2018;Corpus Christi;Austria
20/06/2019;Corpus Christi;Austria
15/08/2016;Assumption of the Virgin Mary;Austria
15/08/2017;Assumption of the Virgin Mary;Austria
15/08/2018;Assumption of the Virgin Mary;Austria
15/08/2019;Assumption of the Virgin Mary;Austria
26/10/2016;National Day;Austria
26/10/2017;National Day;Austria
26/10/2018;National Day;Austria
26/10/2019;National Day;Austria
01/11/2016;All Saints' Day;Both
01/11/2017;All Saints' Day;Both
01/11/2018;All Saints' Day;Both
01/11/2019;All Saints' Day;Both
08/12/2016;Immaculate Conception;Austria
08/12/2017;Immaculate Conception;Austria
08/12/2018;Immaculate Conception;Austria
08/12/2019;Immaculate Conception;Austria
24/12/2016;Christmas Eve;Both
24/12/2017;Christmas Eve;Both
24/12/2018;Christmas Eve;Both
24/12/2019;Christmas Eve;Both
26/12/2016;St. Stephen's Day;Both
26/12/2017;St. Stephen's Day;Both
26/12/2018;St. Stephen's Day;Both
26/12/2019;St. Stephen's Day;Both
31/12/2016;New Year's Eve;Austria
31/12/2017;New Year's Eve;Austria
31/12/2018;New Year's Eve;Austria
31/12/2019;New Year's Eve;Austria
08/05/2016;Day of victory over fascism;Slovakia
08/05/2017;Day of victory over fascism;Slovakia
08/05/2018;Day of victory over fascism;Slovakia
08/05/2019;Day of victory over fascism;Slovakia
05/07/2016;St. Cyril and Methodius Day;Slovakia
05/07/2017;St. Cyril and Methodius Day;Slovakia
05/07/2018;St. Cyril and Methodius Day;Slovakia
05/07/2019;St. Cyril and Methodius Day;Slovakia
29/08/2016;Slovak National Uprising;Slovakia
29/08/2017;Slovak National Uprising;Slovakia
29/08/2018;Slovak National Uprising;Slovakia
29/08/2019;Slovak National Uprising;Slovakia
01/09/2016;Day of the Constitution of the Slovak Republic;Slovakia
01/09/2017;Day of the Constitution of the Slovak Republic;Slovakia
01/09/2018;Day of the Constitution of the Slovak Republic;Slovakia
01/09/2019;Day of the Constitution of the Slovak Republic;Slovakia
15/09/2016;Day of Our Lady of the Seven Sorrows;Slovakia
15/09/2017;Day of Our Lady of the Seven Sorrows;Slovakia
15/09/2018;Day of Our Lady of the Seven Sorrows;Slovakia
15/09/2019;Day of Our Lady of the Seven Sorrows;Slovakia
17/11/2016;Struggle for Freedom and Democracy Day;Slovakia
17/11/2017;Struggle for Freedom and Democracy Day;Slovakia
17/11/2018;Struggle for Freedom and Democracy Day;Slovakia
17/11/2019;Struggle for Freedom and Democracy Day;Slovakia
